THCIC_ID	PROVIDER_NAME	FAC_TEACHING_IND	FAC_PSYCH_IND	FAC_REHAB_IND	FAC_ACUTE_CARE_IND	FAC_SNF_IND	FAC_LONG_TERM_AC_IND	FAC_OTHER_LTC_IND	FAC_PEDS_IND	FAC_CARDIOVASCULAR_IND	FAC_CHIROPRACTIC_IND	FAC_ENDOSCOPY_IND	FAC_FOOT_IND	FAC_GASTROENTEROLOGY_IND	FAC_GENERAL_IND	FAC_OB_GYN_IND	FAC_OPTHAMOLOGY_IND	FAC_ORAL_IND	FAC_ORTHOPEDIC_IND	FAC_OTOLARYRGOLOGY_IND	FAC_PAIN_MNGMT_IND	FAC_PLASTIC_IND	FAC_THORACIC_IND	FAC_UROLOGY_IND	FAC_OTHER_IND	FAC_OTHER_LTC_IND	POA_PROVIDER_INDICATOR	CERT_STATUS_IP	CERT_STATUS_OP	
000102	UT Medical Branch Hospital	A			X				X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
000105	UT MD Anderson Cancer Center	A			X																					X	X	1	1
000112	UT Health Center-Tyler				X					X		X		X	X	X	X	X	X	X		X		X	X		M	1	1
001000	Baptist St Anthonys Hospital				X					X		X	X	X	X	X	X		X	X	X		X	X	X	X	R	2	2
002001	St Joseph Regional Health Center	X			X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	7	7
006000	Matagorda Regional Medical Center				X				X	X		X	X	X	X		X	X	X	X	X	X			X	X	R	2	2
006001	Matagorda Regional Medical Center		X																								X	2	8
007000	Womans Hospital-Texas				X												X										R	7	7
008001	Baylor Medical Center at Uptown				X								X		X	X		X		X	X					X	R	1	1
010000	WJ Mangold Memorial Hospital			X	X	X			X			X			X		X										X	1	1
013001	Grace Medical Center		X		X				X	X		X	X	X	X	X	X	X	X	X	X	X	X		X	X	R	1	1
014000	Columbus Community Hospital			X	X	X			X			X	X	X	X		X	X		X	X	X	X		X		X	1	1
016000	Anson General Hospital				X																					X	R	1	1
017000	Jackson County Hospital				X					X		X	X	X	X											X	X	2	2
019000	Valley Regional Medical Center			X	X	X			X						X												M	1	1
020000	Good Shepherd Medical Center-Marshall			X	X				X	X		X		X	X												M	2	2
023000	Yoakum Community Hospital			X	X	X						X	X	X	X		X			X					X		X	1	1
026000	Childress Regional Medical Center				X					X		X			X		X	X		X			X		X		R	1	1
027000	Baylor Scott & White Medical Center-Garland				X					X		X										X					R	2	2
029000	Good Shepherd Medical Center	X		X	X				X	X	X	X	X	X	X	X	X	X		X	X	X	X	X	X	X	M	2	2
030000	United Memorial Medical Center				X							X		X	X			X	X	X	X	X			X		R	7	7
034000	Palo Pinto General Hospital				X					X		X	X	X	X	X	X			X		X			X	X	R	1	1
035000	St Davids Hospital				X										X												R	1	1
038001	CHRISTUS Jasper Memorial Hospital				X				X	X		X		X	X		X			X		X			X	X	R	7	7
040000	Providence Health Center				X				X						X												M	1	1
041000	Madison St Joseph Health Center				X	X				X					X											X	X	7	7
042000	Baylor Scott & White Medical Center Carrollton				X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	2	2
043000	Stamford Memorial Hospital				X	X			X				X		X			X									R	1	1
044000	Baylor Scott & White Medical Center Taylor			X	X	X						X		X	X											X	X	6	6
046000	Faith Community Hospital				X							X		X	X		X										R	1	1
047000	Texas Health Huguley Hospital		X		X					X		X		X	X		X	X		X	X					X	M	2	2
049000	Coleman County Medical Center				X										X												X	1	1
052000	Limestone Medical Center				X	X						X			X												X	1	1
056000	San Angelo Community Medical Center				X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
058000	Brownwood Regional Medical Center			X	X	X			X	X			X	X	X	X	X	X	X	X	X				X	X	R	1	2
059000	Glen Rose Medical Center		X	X	X	X		X	X	X		X	X	X	X		X	X	X	X	X	X		X	X		R	1	1
061000	Huntsville Memorial Hospital				X		X				X	X	X		X		X	X		X					X		M	1	1
062000	Winkler County Memorial Hospital				X										X												X	1	1
063000	Uvalde Memorial Hospital				X							X	X	X	X		X	X		X							R	6	6
064000	Citizens Medical Center				X										X												R	1	1
066000	Baylor Scott & White Hospital-Brenham				X	X			X	X		X	X	X	X		X	X		X	X	X			X		X	7	7
070000	Goodall - Witcher Hospital				X	X									X												R	1	1
071000	College Station Medical Center	X			X				X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
072000	Memorial Medical Center-San Augustine				X										X												X	1	1
074000	Cuero Community Hospital				X				X	X		X	X		X	X	X	X		X	X	X			X		R	1	1
075000	Mitchell County Hospital			X	X	X						X	X	X	X												X	1	1
076000	Tomball Regional Medical Center		X	X	X	X				X		X		X	X	X	X			X		X		X	X	X	M	1	1
078000	Brownfield Regional Medical Center				X					X		X		X	X		X										R	1	1
081001	Mission Trail Baptist Hospital				X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
084000	Wilbarger General Hospital		X		X										X												R	1	1
085000	Hunt Regional Medical Center Greenville		X	X	X					X		X	X	X	X					X						X	M	1	1
089001	Liberty-Dayton Regional Medical Center				X							X			X											X	X	1	1
091001	Abilene Regional Medical Center				X	X			X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
094000	Graham Regional Medical Center				X							X		X	X					X		X			X	X	R	1	1
095002	Paris Regional Medical Center South Campus		X																								R	1	1
098000	Ochiltree General Hospital				X				X						X												X	1	1
101100	Baptist Emergency Hospital Hausman				X																					X	R	2	2
101200	Baylor Scott & White Emergency Hospital Cedar Park				X																					X	R	2	2
101300	Westside Surgical Hospital				X					X	X	X	X	X	X		X			X	X	X	X		X	X	R	1	1
102000	Hardeman County Memorial Hospital				X										X												X	1	1
103000	Memorial Hospital				X										X												R	7	7
106001	TMC Bonham Hospital				X	X						X		X	X												X	1	1
109000	Covenant Medical Center-Lakeside				X					X		X	X	X	X	X	X	X	X	X	X	X		X	X	X	M	1	1
113000	Memorial Hospital	X			X	X			X			X			X		X										X	1	1
114001	Baptist Medical Center		X	X	X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
115100	Texas General Hospital				X							X	X	X	X					X		X	X			X	R	1	1
116000	Parkview Hospital			X	X	X									X												X	1	1
117000	Texas Childrens Hospital	A							C						X												X	7	7
117002	Texas Childrens Hospital West Campus								X						X												X	7	7
117100	Texas Childrens Hospital-Pavilion for Women				X												X										X	7	7
118000	CHI St Lukes Health Baylor College of Medicine Medical	A		X	X					X		X	X	X	X	X		X		X	X	X	X	X	X	X	M	2	2
119000	Memorial Hermann Southeast Hospital			X	X				X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
124000	Houston Methodist Hospital	A	X	X	X	X				X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	7
126000	UTMB Angleton Danbury Medical Center				X							X	X	X	X		X	X		X	X	X			X		R	1	1
129000	Memorial Medical Center East Texas			X	X				X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
130000	The Hospitals of Providence Memorial Campus			X	X				C	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
134001	Northeast Baptist Hospital		X		X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
136000	Schleicher County Medical Center				X										X												X	1	1
137000	Titus Regional Medical Center		X	X	X				X	X		X	X		X	X	X		X	X		X	X		X	X	R	1	1
139000	Culberson Hospital				X										X												X	1	1
